product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,product_category_idx,product_category_vec,unscaled_features,features,prediction
B00008CMR1,Gunfight at the O.K. Corral,Video_DVD,88,150,282,47,0,4.295454545454546,1.7045454545454546,3.2045454545454546,4.51063829787234,,11.556818181818182,3.736223463479479,0.5319148936170213,0.5340909090909091,0.0,0.720609936055091,0.720609936055091,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.295454545454546, 88.0, 3.2045454545454546, 1.7045454545454546]","[2.287549822185683, 0.0, 8.54251680359628, 0.395245012484567, 0.8386793684041288, 0.631482157573263]",0.47159332821097294
B00008DHNU,Sonic Advance 2,Video_Games,70,116,188,20,0,4.3428571428571425,1.6571428571428573,2.6857142857142855,4.5,,11.685714285714285,3.636101427308324,0.6170212765957447,0.2857142857142857,0.0,0.8343166175024582,0.8343166175024582,1.0,"(0.0, 1.0)","[0.0, 1.0, 4.3428571428571425, 70.0, 2.6857142857142855, 1.6571428571428573]","[0.0, 2.662764508463255, 8.63678796408948, 0.3143994417490874, 0.7028931849482222, 0.6139209394769398]",0.6485823234003626
B00009MEKJ,The Mouse That Roared,Video_DVD,84,190,352,58,0,4.380952380952381,2.261904761904762,4.190476190476191,4.413793103448276,,14.452380952380953,2.571974892107381,0.5397727272727273,0.6904761904761905,0.0,0.720609936055091,0.720609936055091,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.380952380952381, 84.0, 4.190476190476191, 2.261904761904762]","[2.287549822185683, 0.0, 8.71254926202009, 0.3772793300989049, 1.096712770841198, 0.8379667995734092]",0.6269999408354694
B0006HDBU8,The Man Who Planted Trees,Video_DVD,25,106,111,20,0,4.8,4.24,4.44,4.8,,25.84,4.753777777777778,0.954954954954955,0.8,0.0,0.9933947017075399,0.9933947017075399,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.8, 25.0, 4.44, 4.24]","[2.287549822185683, 0.0, 9.545923539256794, 0.11228551491038836, 1.162017031286742, 1.5707908175582392]",0.760724538076105
B0007NMHOC,Bad Boy Bubby,Video_DVD,30,83,146,16,0,4.6,2.7666666666666666,4.866666666666666,4.75,,16.633333333333333,2.9146507515473035,0.5684931506849316,0.5333333333333333,0.0,0.7941817159721735,0.7941817159721735,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.6, 30.0, 4.866666666666666, 2.7666666666666666]","[2.287549822185683, 0.0, 9.148176725121093, 0.13474261789246603, 1.2736823315905728, 1.0249657064255806]",0.716367935766828
B000FAOCC2,Don't Move,Video_DVD,21,89,104,5,0,4.142857142857143,4.238095238095238,4.9523809523809526,3.4,,21.285714285714285,3.747557997557997,0.8557692307692307,0.23809523809523808,0.0,0.7578525753636427,0.7578525753636427,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.142857142857143, 21.0, 4.9523809523809526, 4.238095238095238]","[2.287549822185683, 0.0, 8.239041149953781, 0.09431983252472623, 1.2961150928123248, 1.5700851613059668]",0.396124097081121
B000JBXXYK,Sherrybaby,Video_DVD,92,395,731,33,0,3.7717391304347827,4.293478260869565,7.945652173913044,3.909090909090909,,20.91304347826087,2.476101477934114,0.5403556771545828,0.358695652173913,0.0,0.47445717096479517,0.47445717096479517,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.7717391304347827, 92.0, 7.945652173913044, 4.293478260869565]","[2.287549822185683, 0.0, 7.500986114406947, 0.41321069487022916, 2.079500709632316, 1.5906028838584507]",0.49902495671449804
B000MKXF5U,Linda Linda Linda,Video_DVD,27,152,207,11,0,4.37037037037037,5.62962962962963,7.666666666666667,4.818181818181818,,29.85185185185185,4.090769984758833,0.7342995169082126,0.4074074074074074,0.0,0.857213126273628,0.857213126273628,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.37037037037037, 27.0, 7.666666666666667, 5.62962962962963]","[2.287549822185683, 0.0, 8.691504457039365, 0.12126835610321943, 2.006485864834464, 2.0856062567160407]",0.7551209784167987
B000MNOXX0,Karla,Video_DVD,51,135,219,31,0,3.7450980392156863,2.6470588235294117,4.294117647058823,3.967741935483871,,12.784313725490197,2.603916181857358,0.6164383561643836,0.6078431372549019,0.0,0.07181505164781112,0.07181505164781112,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.7450980392156863, 51.0, 4.294117647058823, 2.6470588235294117]","[2.287549822185683, 0.0, 7.448004068619476, 0.22906245041719225, 1.1238373514034468, 0.9806546447020082]",0.3267084958207154
B000N0WBJ0,300: March to Glory,Video_Games,24,52,69,10,0,3.9166666666666665,2.1666666666666665,2.875,4.0,,11.916666666666666,3.3642857142857143,0.7536231884057971,0.4166666666666667,0.0,0.15363815142576204,0.15363815142576204,1.0,"(0.0, 1.0)","[0.0, 1.0, 3.9166666666666665, 24.0, 2.875, 2.1666666666666665]","[0.0, 2.662764508463255, 7.789208443490787, 0.10779409431397283, 0.752432199312924, 0.8026839869597919]",0.43177972241167334
