product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank
006230237X,"Rule (Marked Men, #1)",Books,1,0,0,1,0,5.0,0.0,0.0,5.0,,5.0,5.0,18.0,,1.0,0.0,0.7141714171417142
B00005JM27,Agent Cody Banks,Video_DVD,23,109,170,0,0,3.9565217391304346,4.739130434782608,7.391304347826087,,,23.652173913043477,2.868319276631297,9.826086956521738,0.6411764705882353,0.0,0.0,0.09394982784062961
B00005JM2A,Torque,Video_DVD,11,116,143,0,0,3.727272727272727,10.545454545454545,13.0,,,42.81818181818182,3.0903850837697417,3.0,0.8111888111888111,0.0,0.0,0.06275033377837116
B00BSTVK9W,Prince of the City,Video_DVD,2,0,2,2,0,5.0,0.0,1.0,5.0,,5.0,2.5,4.5,0.0,1.0,0.0,0.857213126273628
B00274SIUG,Echelon Conspiracy,Video_DVD,27,52,78,14,0,3.4074074074074074,1.9259259259259258,2.888888888888889,4.071428571428571,,9.444444444444445,2.441287632661901,8.11111111111111,0.6666666666666666,0.5185185185185185,0.0,0.17075398777317125
B00004U9Q9,Ghost Dog: The Way of the Samurai,Video_DVD,1,3,3,0,0,5.0,3.0,3.0,,,20.0,5.0,4.0,1.0,0.0,0.0,0.8266460543883072
B000VIO96C,Fearless Hyena,Video_DVD,2,3,4,2,0,3.5,1.5,2.0,3.5,,9.5,3.1,9.0,0.75,1.0,0.0,0.6837889115311644
B00009YXAY,The Brave Little Toaster to the Rescue,Video_DVD,41,14,37,34,0,4.7073170731707314,0.34146341463414637,0.9024390243902439,4.764705882352941,,6.024390243902439,4.673893405600722,6.853658536585366,0.3783783783783784,0.8292682926829268,0.0,0.6837889115311644
B00008979P,A Stranger Among Us,Video_DVD,60,46,66,40,0,4.283333333333333,0.7666666666666667,1.1,4.3,,7.1,4.126388888888889,4.833333333333333,0.696969696969697,0.6666666666666666,0.0,0.12866277844143068
0373120656,Secret Daughter,Books,1,2,6,0,0,2.0,2.0,6.0,,,6.0,0.8571428571428571,0.0,0.3333333333333333,0.0,0.0,0.41784178417841783
B000056WRH,Empire Records,Video_DVD,66,136,348,15,0,4.348484848484849,2.0606060606060606,5.2727272727272725,4.466666666666667,,11.696969696969697,2.9297390014839304,9.0,0.39080459770114945,0.22727272727272727,0.0,0.600660529829246
B0047HXMIY,Pregnancy Pact,Video_DVD,9,6,12,5,0,3.7777777777777777,0.6666666666666666,1.3333333333333333,4.0,,5.666666666666667,3.2592592592592595,3.5555555555555554,0.5,0.5555555555555556,0.0,0.08207434474035556
B002QHDKB6,Skate 3,Video_Games,199,140,248,181,0,4.5125628140703515,0.7035175879396985,1.2462311557788945,4.513812154696133,,7.668341708542713,3.9848805167309456,5.180904522613066,0.5645161290322581,0.9095477386934674,0.0,0.752826941986234
B0000657SM,Lost Kingdoms,Video_Games,48,101,230,10,0,3.7916666666666665,2.1041666666666665,4.791666666666667,4.6,,11.770833333333334,3.1072654765287475,3.7708333333333335,0.4391304347826087,0.20833333333333334,0.0,0.5250737463126843
1101873906,The Knockoff,Books,1,1,1,1,0,5.0,1.0,1.0,5.0,,10.0,5.0,3.0,1.0,1.0,0.0,0.07250725072507251
B00097DY0M,Crossfire,Video_DVD,30,55,86,12,0,4.3,1.8333333333333333,2.8666666666666667,4.583333333333333,,12.4,3.4793243793243795,1.2666666666666666,0.6395348837209303,0.4,0.0,0.3942800927552526
B0009VBTF0,A Crime in Paradise,Video_DVD,3,0,2,3,0,3.3333333333333335,0.0,0.6666666666666666,3.3333333333333335,,3.3333333333333335,2.5,4.333333333333333,0.0,1.0,0.0,0.3942800927552526
B0000CABKY,Rugrats Go Wild,Video_DVD,26,36,54,18,0,4.5,1.3846153846153846,2.076923076923077,4.722222222222222,,10.038461538461538,4.198717948717949,6.153846153846154,0.6666666666666666,0.6923076923076923,0.0,0.2243693345513316
B00005JP1D,Snakes on a Plane,Video_DVD,38,347,552,4,0,3.9473684210526314,9.131578947368421,14.526315789473685,5.0,,41.18421052631579,3.026450721853929,4.078947368421052,0.6286231884057971,0.10526315789473684,0.0,0.11088468835640503
B0013ND3MK,Minutemen,Video_DVD,28,72,87,20,0,4.535714285714286,2.5714285714285716,3.107142857142857,4.6,,16.071428571428573,4.229818594104308,7.678571428571429,0.8275862068965517,0.7142857142857143,0.0,0.11088468835640503
B0009I71RI,That's So Raven 2: Supernatural Style,Video_Games,9,8,13,5,0,4.333333333333333,0.8888888888888888,1.4444444444444444,3.8,,8.666666666666666,3.925925925925926,5.111111111111111,0.6153846153846154,0.5555555555555556,0.0,0.11934611602753195
B00009Y3NL,Sunday Bloody Sunday,Video_DVD,24,129,174,14,0,4.375,5.375,7.25,4.0,,30.416666666666668,3.920406610132638,10.375,0.7413793103448276,0.5833333333333334,0.0,0.5140889607195559
B001CIOCJY,Sukiyaki Western Django,Video_DVD,52,133,219,19,0,3.2115384615384617,2.5576923076923075,4.211538461538462,3.5789473684210527,,11.038461538461538,2.5128578895092275,9.057692307692308,0.6073059360730594,0.36538461538461536,0.0,0.47445717096479517
B00000K2X5,Tekken 3,Video_Games,157,150,234,34,0,4.585987261146497,0.9554140127388535,1.4904458598726114,4.4411764705882355,,9.089171974522293,4.189778241927924,9.420382165605096,0.6410256410256411,0.21656050955414013,0.0,0.9960668633235005
B00005LQ0I,The Woman in Red,Video_DVD,36,117,222,25,0,4.166666666666667,3.25,6.166666666666667,4.4,,17.36111111111111,3.257903362070029,4.916666666666667,0.527027027027027,0.6944444444444444,0.0,0.2243693345513316
B00AADAITK,The Guardians,Video_DVD,1,0,0,0,0,4.0,0.0,0.0,,,4.0,4.0,4.0,,0.0,0.0,0.2243693345513316
B009ERJY6G,Godzilla vs. Biollante,Video_DVD,145,138,355,121,0,4.324137931034483,0.9517241379310345,2.4482758620689653,4.355371900826446,,7.979310344827586,2.733897730621869,5.43448275862069,0.38873239436619716,0.8344827586206897,0.0,0.5565315157051507
0792842162,Dirty Work,Video_DVD,81,100,249,29,0,4.432098765432099,1.2345679012345678,3.074074074074074,4.689655172413793,,9.432098765432098,3.712285519692926,5.888888888888889,0.40160642570281124,0.35802469135802467,0.0,0.5565315157051507
B00561BN3G,The Silent House,Video_DVD,18,25,68,9,0,3.2222222222222223,1.3888888888888888,3.7777777777777777,3.3333333333333335,,7.722222222222222,2.6506766381766385,8.555555555555555,0.36764705882352944,0.5,0.0,0.14847867331881104
B005MTHRG4,The Pool Boys,Video_DVD,9,14,19,4,0,3.888888888888889,1.5555555555555556,2.111111111111111,3.75,,9.88888888888889,3.414814814814815,9.333333333333334,0.7368421052631579,0.4444444444444444,0.0,0.09394982784062961
B00320JDW6,Monster Rancher DS,Video_Games,25,60,110,21,0,3.84,2.4,4.4,3.9523809523809526,,13.76,3.4125328185328185,6.08,0.5454545454545454,0.84,0.0,0.19727138643067846
B0007PAMII,Zero Day,Video_DVD,21,114,149,12,0,4.333333333333333,5.428571428571429,7.095238095238095,4.333333333333333,,30.428571428571427,3.3730420929669047,4.809523809523809,0.7651006711409396,0.5714285714285714,0.0,0.7941817159721735
6305499144,A Life Less Ordinary,Video_DVD,65,115,179,11,0,4.092307692307692,1.7692307692307692,2.753846153846154,4.363636363636363,,11.307692307692308,3.593264491918338,7.953846153846154,0.6424581005586593,0.16923076923076924,0.0,0.43391188251001334
B00393SG56,44 Inch Chest,Video_DVD,24,50,73,8,0,3.4583333333333335,2.0833333333333335,3.0416666666666665,3.25,,9.916666666666666,2.7955447330447334,2.125,0.684931506849315,0.3333333333333333,0.0,0.35577260909282554
B010E1H2CS,The Escort,Video_DVD,1,4,4,0,0,5.0,4.0,4.0,,,25.0,5.0,5.0,1.0,0.0,0.0,0.35577260909282554
B00006BSBX,Jackie Brown,Video_DVD,7,7,19,2,0,4.571428571428571,1.0,2.7142857142857144,5.0,,9.142857142857142,3.801948051948052,8.571428571428571,0.3684210526315789,0.2857142857142857,0.0,0.857213126273628
B00005AVSA,Two Girls and a Guy,Video_DVD,41,129,234,3,0,2.8048780487804876,3.1463414634146343,5.7073170731707314,3.0,,13.731707317073171,2.044589624467674,6.7317073170731705,0.5512820512820513,0.07317073170731707,0.0,0.17075398777317125
0310328179,Bread and   Wine: A Love Letter to Life Around the Table with Recipes,Books,330,616,759,159,0,4.745454545454545,1.8666666666666667,2.3,4.811320754716981,,11.418181818181818,4.332184120741681,16.815151515151516,0.8115942028985508,0.4818181818181818,0.0,0.8013801380138014
